ECG_I_Filtered,ECG_I_mV,PPG_RED_Filtered,PPG_IR_Filtered,{'Hz': 250}
,,,,ecg_mv = (ecg_data - 11872) / (2 ** 24) * 1000 * 0.7867+ 0.0093
26273.8339561271,0.6846160222,-0.5560069504,-0.4270043057,
26644.8862293423,0.7020150247,-0.5115308926,-0.3855039389,
26955.4810717247,0.7165791194,-0.4673749641,-0.3441858365,
27165.7153084787,0.7264372076,-0.4235745107,-0.3030552833,
27271.0000276052,0.7313741106,-0.3801540344,-0.2621357786,
27329.9005858403,0.7341360152,-0.3371347403,-0.2214292296,
27415.7766137752,0.7381628258,-0.2945436842,-0.1809451493,
27584.3648959336,0.7460680945,-0.2523947074,-0.1406934952,
27847.8422504472,0.7584228043,-0.2107113888,-0.1006899860,
28178.9455329712,0.7739485597,-0.1695155052,-0.0609512123,
28503.9716406118,0.7891893505,-0.1288302081,-0.0215035332,
28759.0575158658,0.8011505757,-0.0886896328,0.0176193211,
28920.5001505714,0.8087207781,-0.0491258251,0.0563791049,
29006.4765898694,0.8127522970,-0.0101759206,0.0947269705,
29050.1239361744,0.8147989636,0.0281200165,0.1326060129,
29064.3393531550,0.8154655384,0.0657061221,0.1699527390,
29024.3000697226,0.8135880574,0.1025400390,0.2066946600,
28880.8233840276,0.8068602958,0.1385626995,0.2427536673,
28595.3266674631,0.7934730767,0.1737198393,0.2780472601,
28171.6673686744,0.7736072795,0.2079550178,0.3124850738,
27662.1430175750,0.7497151864,0.2412100796,0.3459779925,
27143.0912293661,0.7253763425,0.2734328995,0.3784354182,
26676.8097085617,0.7035119478,0.3045724833,0.4097680303,
26285.0762530158,0.6851431845,0.3345809689,0.4398867931,
25948.8687579536,0.6693780876,0.3634238181,0.4687113340,
25629.4452200035,0.6544000067,0.3910664655,0.4961676373,
25291.1837412309,0.6385385965,0.4174892898,0.5221893167,
24909.5425331721,0.6206430685,0.4426825447,0.5467210168,
24462.3799208681,0.5996751781,0.4666468829,0.5697215146,
23920.0743468971,0.5742459415,0.4893969151,0.5911620937,
23251.3243754057,0.5428876039,0.5109592520,0.6110269067,
22448.2286961362,0.5052296653,0.5313760694,0.6293229239,
21553.0461284518,0.4632536827,0.5507012394,0.6460660376,
20661.9956253569,0.4214714567,0.5689917193,0.6612837445,
19892.8562775126,0.3854057635,0.5863426507,0.6750411739,
19331.5673172463,0.3590863775,0.6028338736,0.6873991454,
18991.8681225548,0.3431575513,0.6185654467,0.6984380751,
18817.6182211000,0.3349868037,0.6336520605,0.7082565817,
18727.7172941966,0.3307712617,0.6482002098,0.7169653804,
18673.2251807906,0.3282160734,0.6623364098,0.7246809367,
18665.5618814281,0.3278567339,0.6761799383,0.7315357077,
18755.8675622133,0.3320912552,0.6898532092,0.7376591283,
18981.8025587559,0.3426855672,0.7034763946,0.7431955472,
19323.0673801051,0.3586878071,0.7171613077,0.7482826528,
19700.5227126713,0.3763870553,0.7310208002,0.7530574502,
20020.4694241343,0.3913896683,0.7451438483,0.7576580043,
20231.9285673358,0.4013051935,0.7596217707,0.7622103498,
20354.4813841574,0.4070518144,0.7745179745,0.7668305760,
20456.5493093816,0.4118378789,0.7898900657,0.7716300375,
20599.8739745364,0.4185585120,0.8057703247,0.7766966879,
20789.8772117211,0.4274679489,0.8221725478,0.7821086681,
20963.4210574138,0.4356055888,0.8390881385,0.7879184622,
21017.8077562597,0.4381558341,0.8564896356,0.7941687429,
