ECG_I,PPG_RED,PPG_IR,{'Hz': 250}
-812185,407310,571674,
-811504,407311,571781,
-810338,407377,571786,
-808833,407382,571875,
-807427,407450,571864,
-806775,407458,571883,
-807453,407539,572010,
-809586,407506,571941,
-812698,407543,572000,
-815905,407539,572061,
-818359,407565,572115,
-819584,407608,572135,
-819558,407659,572177,
-818566,407731,572212,
-817031,407748,572326,
-815391,407790,572390,
-813998,407848,572491,
-813034,407870,572581,
-812476,407927,572607,
-812171,408023,572682,
-811948,407941,572628,
-811706,408017,572755,
-811418,408075,572793,
-811122,408054,572787,
-810893,408102,572840,
-810822,408146,572903,
-810965,408162,572883,
-811285,408159,572959,
-811634,408147,572889,
-811809,408174,572966,
-811674,408159,573043,
-811262,408232,573046,
-810760,408213,573063,
-810371,408243,573049,
-810172,408257,573109,
-810084,408270,573103,
-809978,408187,573105,
-809800,408143,573017,
-809604,408054,572894,
-809481,407957,572733,
-809483,407738,572464,
-809599,407563,572132,
-809757,407341,571840,
-809846,406987,571331,
-809768,406668,570917,
-809498,406378,570322,
-809123,405970,569803,
-808783,405709,569306,
-808574,405393,568835,
-808482,405121,568447,
-808425,404914,568064,
-808334,404622,567622,
-808190,404368,567295,
-807998,404229,567028,
-807767,404035,566792,
-807519,403911,566613,
-807286,403699,566340,
-807072,403610,566276,
-806823,403488,566160,
-806470,403531,566097,
-806025,403461,566128,
-805537,403554,566163,
-805780,403606,566249,
-805944,403706,566432,
-805882,403757,566515,
-805622,403897,566643,
-805305,404034,566909,
-805043,404122,567049,
-804865,404342,567211,
-804765,404466,567449,
-804757,404517,567672,
-804848,404734,567809,
-804974,404741,568001,
-805040,404863,568205,
-805029,404979,568288,
-805075,405041,568419,
-805366,405113,568533,
-805966,405140,568622,
-806738,405202,568792,
-807421,405208,568848,
-807805,405260,568895,
-807847,405290,568927,
-807676,405304,568962,
-807514,405355,569073,
-807550,405403,569084,
-807833,405463,569163,
-808238,405553,569259,
-808551,405588,569361,
-808621,405602,569367,
-808465,405762,569469,
-808237,405822,569688,
-808104,405865,569756,
-808121,405928,569862,
-808218,406060,570009,
-808278,406120,570134,
-808240,406131,570215,
-808126,406181,570307,
-807996,406204,570444,
-807891,406216,570470,
-807816,406236,570576,
-807760,406282,570636,
-807711,406239,570648,
-807669,406245,570629,
-807642,406241,570600,
-807648,406241,570671,
-807680,406274,570712,
-807679,406299,570733,
-807553,406309,570747,
-807277,406330,570777,
-806977,406274,570766,
-807272,406299,570750,
-807438,406253,570817,
-807298,406324,570809,
-806943,406301,570822,
-806638,406284,570821,
-806563,406362,570815,
-806645,406381,570891,
-806661,406378,570816,
-806483,406377,570856,
-806212,406343,570856,
-806066,406336,570844,
-806174,406268,570782,
-806471,406280,570744,
-806770,406282,570819,
-806911,406257,570801,
-806846,406227,570783,
-806625,406165,570761,
-806342,406246,570825,
-806081,406166,570856,
-805879,406243,570898,
-805706,406290,570945,
-805500,406340,571033,
-805241,406370,571109,
-804986,406344,571156,
-804827,406426,571192,
-804799,406531,571331,
-804856,406597,571379,
-804920,406598,571464,
-804945,406646,571464,
-804919,406684,571640,
-804828,406746,571648,
-804669,406841,571715,
-804497,406881,571885,
-804431,406976,572001,
-804559,407055,572094,
-804842,407032,572141,
-805128,407193,572238,
-805273,407242,572287,
-805250,407208,572300,
-805133,407232,572357,
-804999,407285,572386,
-804868,407296,572391,
-804742,407338,572519,
-804663,407342,572485,
-804693,407352,572491,
-804825,407330,572541,
-804908,407356,572618,
-804675,407388,572614,
-803882,407446,572696,
-802474,407454,572775,
-800704,407499,572822,
-799121,407585,572904,
-798409,407616,572962,
-799082,407699,573103,
-801209,407709,573118,
-804317,407752,573123,
-807571,407694,573214,
-810133,407759,573217,
-811477,407743,573216,
-811515,407767,573166,
-810508,407778,573227,
-808890,407803,573259,
-807106,407834,573363,
-805510,407832,573294,
-804310,407814,573293,
-803560,407827,573381,
-803173,407887,573386,
-802993,407886,573397,
-802881,407957,573510,
-802770,407993,573538,
-802662,408016,573551,
-802581,408037,573622,
-802534,408108,573718,
-802505,408163,573805,
-802469,408272,573928,
-802419,408311,573951,
-802376,408431,574071,
-802379,408513,574253,
-802431,408580,574355,
-802470,408643,574351,
-802394,408699,574436,
-802161,408750,574513,
-801852,408756,574511,
-801615,408693,574457,
-801529,408614,574296,
-801538,408475,573985,
-801511,408258,573761,
-801372,407976,573299,
-801156,407689,572914,
-800943,407316,572381,
-800766,406924,571762,
-800589,406479,571148,
-800376,406075,570515,
-800156,405754,569958,
-800013,405399,569448,
-800007,405067,568947,
-800119,404766,568520,
-800237,404482,568166,
-800228,404248,567768,
-800008,404034,567461,
-799593,403831,567100,
-799101,403691,566919,
-798683,403536,566721,
-798432,403465,566510,
-798313,403464,566553,
-798186,403481,566469,
-797923,403476,566598,
-797518,403482,566580,
-797095,403534,566676,
-796793,403581,566780,
-796653,403626,566845,
-796601,403717,566954,
-796526,403768,567091,
-796353,403847,567262,
-796072,403919,567496,
-795715,404041,567585,
-795348,404112,567821,
-795062,404248,568002,
-794944,404356,568143,
-795027,404420,568257,
-795268,404475,568388,
-795590,404639,568540,
-795944,404660,568664,
-796326,404758,568773,
-796733,404791,568762,
-797118,404839,568980,
-797411,404913,569049,
-797613,404968,569117,
-797838,405008,569247,
-798230,405110,569309,
-798809,405148,569412,
-799401,405152,569417,
-799754,405185,569449,
-799730,405230,569550,
-799410,405197,569587,
-799004,405226,569665,
-798691,405329,569679,
-798543,405339,569760,
-798573,405344,569947,
