timestamp_mon_ppg_ir_smooth;mon_ppg_ir_smooth;timestamp_mon_ppg_red_smooth;mon_ppg_red_smooth
1787030804942;196828.84375;1787030804942;167706.28125
1787030804951;196828.84375;1787030804951;167706.28125
1787030804961;196828.84375;1787030804961;167706.28125
1787030804971;196828.84375;1787030804971;167706.28125
1787030804981;196916.015625;1787030804981;167796.15625
1787030804991;196916.015625;1787030804991;167796.15625
1787030805001;196926.515625;1787030805001;167784.953125
1787030805011;196926.515625;1787030805011;167784.953125
1787030805021;196926.515625;1787030805021;167784.953125
1787030805031;196926.515625;1787030805031;167784.953125
1787030805041;196926.515625;1787030805041;167784.953125
1787030805051;196926.515625;1787030805051;167784.953125
1787030805061;197223.546875;1787030805061;167891.109375
1787030805071;197223.546875;1787030805071;167891.109375
1787030805081;197223.546875;1787030805081;167891.109375
1787030805091;197223.546875;1787030805091;167891.109375
1787030805101;197223.546875;1787030805101;167891.109375
1787030805111;197223.546875;1787030805111;167891.109375
1787030805121;197250.578125;1787030805121;167895.046875
1787030805131;197106.984375;1787030805131;167815.125
1787030805141;197043.53125;1787030805141;167771.84375
1787030805151;197043.53125;1787030805151;167771.84375
1787030805161;197043.53125;1787030805161;167771.84375
1787030805171;197043.53125;1787030805171;167771.84375
1787030805181;197043.53125;1787030805181;167771.84375
1787030805191;197043.53125;1787030805191;167771.84375
1787030805201;197616.1875;1787030805201;168044.515625
1787030805211;197616.1875;1787030805211;168044.515625
1787030805221;197688.65625;1787030805221;168083.921875
1787030805231;197688.65625;1787030805231;168083.921875
1787030805241;197688.65625;1787030805241;168083.921875
1787030805251;197688.65625;1787030805251;168083.921875
1787030805261;197688.65625;1787030805261;168083.921875
1787030805271;197688.65625;1787030805271;168083.921875
1787030805281;197574.359375;1787030805281;168068.484375
1787030805291;197591.078125;1787030805291;168074.640625
1787030805301;197591.078125;1787030805301;168074.640625
1787030805311;197591.078125;1787030805311;168074.640625
1787030805321;197591.078125;1787030805321;168074.640625
1787030805331;197591.078125;1787030805331;168074.640625
1787030805341;197591.078125;1787030805341;168074.640625
1787030805351;197624.90625;1787030805351;168084
1787030805361;197807.1875;1787030805361;168141.484375
1787030805371;197807.1875;1787030805371;168141.484375
1787030805381;197807.1875;1787030805381;168141.484375
1787030805391;197807.1875;1787030805391;168141.484375
1787030805401;197807.1875;1787030805401;168141.484375
1787030805411;197807.1875;1787030805411;168141.484375
1787030805421;197860.03125;1787030805421;168186.296875
1787030805431;197624.296875;1787030805431;168088.859375
1787030805441;197262.0625;1787030805441;167943.53125
1787030805451;197262.0625;1787030805451;167943.53125
1787030805461;197262.0625;1787030805461;167943.53125
1787030805471;197262.0625;1787030805471;167943.53125
1787030805481;197262.0625;1787030805481;167943.53125
1787030805491;197262.0625;1787030805491;167943.53125
1787030805501;194678.46875;1787030805501;166968.1875
1787030805511;194678.46875;1787030805511;166968.1875
1787030805521;194517.296875;1787030805521;166903.609375
1787030805531;194517.296875;1787030805531;166903.609375
1787030805541;194517.296875;1787030805541;166903.609375
1787030805551;194517.296875;1787030805551;166903.609375
1787030805561;194517.296875;1787030805561;166903.609375
1787030805571;194517.296875;1787030805571;166903.609375
1787030805581;195030.59375;1787030805581;167093.40625
1787030805591;195121.640625;1787030805591;167130.8125
1787030805601;195204.765625;1787030805601;167164.734375
1787030805611;195204.765625;1787030805611;167164.734375
1787030805621;195204.765625;1787030805621;167164.734375
1787030805631;195204.765625;1787030805631;167164.734375
1787030805641;195204.765625;1787030805641;167164.734375
1787030805651;195204.765625;1787030805651;167164.734375
1787030805661;195741.828125;1787030805661;167360.4375
1787030805671;195741.828125;1787030805671;167360.4375
1787030805681;195741.828125;1787030805681;167360.4375
1787030805691;195741.828125;1787030805691;167360.4375
1787030805701;195741.828125;1787030805701;167360.4375
1787030805711;195741.828125;1787030805711;167360.4375
1787030805721;196060.046875;1787030805721;167468.546875
1787030805731;196016.765625;1787030805731;167447.34375
1787030805741;195977.703125;1787030805741;167430.875
1787030805751;195977.703125;1787030805751;167430.875
1787030805761;195977.703125;1787030805761;167430.875
1787030805771;195977.703125;1787030805771;167430.875
1787030805781;195977.703125;1787030805781;167430.875
1787030805791;195977.703125;1787030805791;167430.875
1787030805801;195875.328125;1787030805801;167380.9375
1787030805811;195896.421875;1787030805811;167386.796875
1787030805821;195927.359375;1787030805821;167397.984375
1787030805831;195927.359375;1787030805831;167397.984375
1787030805841;195927.359375;1787030805841;167397.984375
1787030805851;195927.359375;1787030805851;167397.984375
1787030805861;195927.359375;1787030805861;167397.984375
1787030805871;195927.359375;1787030805871;167397.984375
1787030805881;196352.75;1787030805881;167561.171875
1787030805891;196517.25;1787030805891;167610.9375
1787030805901;196517.25;1787030805901;167610.9375
1787030805911;196517.25;1787030805911;167610.9375
1787030805921;196517.25;1787030805921;167610.9375
1787030805931;196517.25;1787030805931;167610.9375
1787030805941;196517.25;1787030805941;167610.9375
1787030805951;196575.390625;1787030805951;167625.28125
1787030805961;196516.8125;1787030805961;167603.65625
1787030805971;196551.59375;1787030805971;167613.28125
1787030805981;196551.59375;1787030805981;167613.28125
1787030805991;196551.59375;1787030805991;167613.28125
1787030806001;196551.59375;1787030806001;167613.28125
1787030806011;196551.59375;1787030806011;167613.28125
1787030806021;196551.59375;1787030806021;167613.28125
1787030806031;196893.125;1787030806031;167709.90625
1787030806041;196917.15625;1787030806041;167715.65625
1787030806051;196917.15625;1787030806051;167715.65625
1787030806061;196917.15625;1787030806061;167715.65625
1787030806071;196917.15625;1787030806071;167715.65625
1787030806081;196917.15625;1787030806081;167715.65625
1787030806091;196917.15625;1787030806091;167715.65625
1787030806101;197213.578125;1787030806101;167825.765625
